Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
3,MSBs,2C2P (Malaysia) Sdn Bhd,"NOT FOUND [Parent: Ant Group (acquired 2C2P Apr 2022). Founder: Aung Kyaw Moe (Wikipedia, conf 85, non-target). 2c2p.com has no leadership section. 0/7 target roles.]",,,,,,
6,Fintech Sandbox,AEON Bank (M) Berhad,CEO: Mohammad Ridzuan Abdul Aziz (since 22 May 2026) [Official: aeonbank.com.my/media-centre]; Chairman: Tomokatsu Yoshitoshi; Exec Director: Daisuke Maeda [Official: aeonbank.com.my/about-us],,,,,,
6,Fintech Sandbox,AEON Bank Berhad,CEO: Mohammad Ridzuan Abdul Aziz (since 22 May 2026) [Official: aeonbank.com.my/media-centre]; Chairman: Tomokatsu Yoshitoshi; Exec Director: Daisuke Maeda [Official: aeonbank.com.my/about-us],,,,,,
4,E-Money,AEON Wallet (AEON Credit),CEO: Mohammad Ridzuan Abdul Aziz (since 22 May 2026) [Official: aeonbank.com.my/media-centre]; Chairman: Tomokatsu Yoshitoshi; Exec Director: Daisuke Maeda [Official: aeonbank.com.my/about-us] [INHERITED from AEON Bank Berhad - product brand governance],,,,,,
2,Insurers,AIA Berhad,"Chee Lung Yuen (Director, Technology Risk Management & Business Continuity Management - CISO) [ASEAN Risk Awards industry profile: aseanriskawards.com/chee-lung-yuen/, conf 85]. CISO of AIA Bhd (Malaysia) since 2020. Not on AIA public EXCO leadership page (only top execs listed). Verified via credible regional risk-management industry body.",Datin Veronica Selvanayagy (General Counsel) [Official: aia.com.my],Edwin Peh (CFO) [Official: aia.com.my],Tan Teoh Guan (CRO) [Official: aia.com.my],Tan Teoh Guan (CRO - oversees compliance monitoring) [Official: aia.com.my],Sherlly Yuan Xiaoli (CTO) [Official: aia.com.my],
2,Insurers,AIA General Berhad,,Datin Veronica Selvanayagy (General Counsel) [Official: aia.com.my],Edwin Peh (CFO) [Official: aia.com.my],Tan Teoh Guan (CRO) [Official: aia.com.my],"Nanthini Kandasamy (Director, Risk & Compliance) [Official: aia.com.my, conf 90]",Sherlly Yuan Xiaoli (CTO) [Official: aia.com.my],
2,Takaful,AIA Public Takaful Berhad,,Datin Veronica Selvanayagy (General Counsel) [Official: aia.com.my],Edwin Peh (CFO) [Official: aia.com.my],Tan Teoh Guan (CRO) [Official: aia.com.my],"Ahmad Faisal Ahamad Nawawi (Associate Director, Compliance) [Official: aia.com.my, conf 90]",Sherlly Yuan Xiaoli (CTO) [Official: aia.com.my],
2,Investment Banks,Affin Investment Bank Berhad,Teng Wei Lim (Thomas) (Group CISO/GCISO) [LinkedIn: my.linkedin.com/in/thomaslim],Cheong Dang (Group CRO) + Adzamimah Adzmi (Group CCO) [Group-level: Affin Bank],"Joanne Rodrigues (Group CFO, 6.1yrs tenure) [SimplyWall.st]","Cheong Dang (Group Chief Risk Officer, 4.3yrs) [SimplyWall.st]","Adzamimah Adzmi (Group Chief Compliance Officer, 8yrs) [SimplyWall.st]",CEO: Wan Razly Bin Wan Ali (President and Group CEO); COO: Risham Kamaruzaman [SimplyWall.st],"Wahdania Binti Mohd Khir (Group Chief Internal Auditor, 6.2yrs) [SimplyWall.st]"
5,GLC-Linked,Agensi Jaminan Kredit Mikro (AKM),CEO: Not found (SKM subsidiary; limited public info) [Searched: web/firecrawl - no results],,,,,,
3,Development FIs,Agrobank Malaysia,"Nolan Jeffrey A/L Abdul Hai (Group CIO, CISO-equivalent) [Official: agrobank.com.my/my/home/corporate-info/senior-leadership/, conf 85]",Encik Hussien Mullar (CRO) + Encik Fairoshawal Idrus (Compliance),Encik Zulkeefli Mad Karim,Encik Hussien Mullar,Encik Fairoshawal Idrus,"Nolan Jeffrey A/L Abdul Hai (Group Chief Information Technology Officer) [Official: agrobank.com.my/home/corporate-info/senior-leadership/, conf 95]",Encik Kamarudin Samsudin
4,E-Money,Alipay+ Malaysia (Ant Group),,,,,,,
