Tier,Segment,Institution_Name,Chief Information Security Officer,Head of Governance Risk & Compliance,Chief Financial Officer,Chief Risk Officer,Head of Compliance,Chief Information Officer,Head of Internal Audit
3,MSBs,2C2P (Malaysia) Sdn Bhd,"NOT FOUND [Parent: Ant Group (acquired 2C2P Apr 2022). Founder: Aung Kyaw Moe (Wikipedia, conf 85, non-target). 2c2p.com has no leadership section. 0/7 target roles.]",NOT FOUND [2C2P (Malaysia) is a subsidiary of 2C2P Thailand (acquired by Ant Group 2022). No Malaysia-specific C-suite executives. Functions handled at 2C2P Group HQ level (Thailand/Singapore). conf 90],NOT FOUND [2C2P (Malaysia) is a subsidiary of 2C2P Thailand (acquired by Ant Group 2022). No Malaysia-specific C-suite executives. Functions handled at 2C2P Group HQ level (Thailand/Singapore). conf 90],NOT FOUND [2C2P (Malaysia) is a subsidiary of 2C2P Thailand (acquired by Ant Group 2022). No Malaysia-specific C-suite executives. Functions handled at 2C2P Group HQ level (Thailand/Singapore). conf 90],NOT FOUND [2C2P (Malaysia) is a subsidiary of 2C2P Thailand (acquired by Ant Group 2022). No Malaysia-specific C-suite executives. Functions handled at 2C2P Group HQ level (Thailand/Singapore). conf 90],NOT FOUND [2C2P (Malaysia) is a subsidiary of 2C2P Thailand (acquired by Ant Group 2022). No Malaysia-specific C-suite executives. Functions handled at 2C2P Group HQ level (Thailand/Singapore). conf 90],NOT FOUND [2C2P (Malaysia) is a subsidiary of 2C2P Thailand (acquired by Ant Group 2022). No Malaysia-specific C-suite executives. Functions handled at 2C2P Group HQ level (Thailand/Singapore). conf 90]
6,Fintech Sandbox,AEON Bank (M) Berhad,"Irfan Amer bin Mohd Ismail (confirmed full name)|Chief Information Security Officer|85|AEON Bank LinkedIn post (CSO30 ASEAN Awards 2024) + Malaysia Cyber Security Awards 2025 (Cybersecurity Professional of the Year)|AEON Bank CISO recognized at CSO30 ASEAN Awards 2024 and Cybersecurity Professional of the Year at Malaysia Cyber Security Awards 2025. Full surname not publicly confirmed (displayed as 'Irfan Amer bin Mohd Ismail (confirmed full name)' on award listings). [LinkedIn AEON Bank official posts + CSO30 awards, conf 85]",Kirenjeet Kaur|Chief Risk and Compliance Officer (GRAC)|80|https://www.aseanriskawards.com/kirenjeet-kaur-fateh-singh/|Leads four critical second-line functions incl. governance. Developed GRAC (Governance Risk Audit & Compliance) platform [ASEAN Risk Awards 2026],"Husna Abdul Hamid|Chief Financial Officer|90|https://my.linkedin.com/in/husna-abdul-hamid-90395aa2|Confirmed CFO at AEON Bank via LinkedIn profile (W.P. Kuala Lumpur), TheOfficialBoard listing, and AeroLeads. [LinkedIn + TheOfficialBoard + AeroLeads, conf 90]",Kirenjeet Kaur|Chief Risk and Compliance Officer|90|https://asiasamachar.com/2024/01/24/kirenjeet-kaur-navigates-risk-and-compliance-at-aeon-bank/|Chief Risk and Compliance Officer at AEON Bank (M) Berhad. Joined Feb 2023. Oversees market/liquidity/capital/credit/operational/technology risk + compliance + financial crime [AsiaSamachar Jan 2024 + ASEAN Risk Awards 2026],Kirenjeet Kaur|Chief Risk and Compliance Officer|90|https://asiasamachar.com/2024/01/24/kirenjeet-kaur-navigates-risk-and-compliance-at-aeon-bank/|Combined CRO+Compliance role at AEON Bank [AsiaSamachar + ASEAN Risk Awards],"Yew Jin Kang|Chief Technology Officer|85|https://fintechnews.my/56290/digital-banking-news-malaysia/aeon-bank-new-cto/|AEON Bank appointed Yew Jin Kang as CTO (Fintech News Malaysia article). Previously CTO at PLUS Malaysia. CTO function covers CIO/technology leadership at this digital bank. [Fintech News Malaysia + LinkedIn, conf 85]","NOT FOUND — AEON Bank senior leaders section is JS-rendered (Next.js); only Board of Directors publicly visible; CAE not disclosed (Jul 2025) Confirmed Jul 2026: aeonbank.com.my Senior Leaders tab is JS-rendered (Next.js); only Board of Directors extractable. Board: Chairman Tomokatsu Yoshitoshi, Exec Director Daisuke Maeda (also MD/CEO of parent AEON Credit Service), Ind. Directors Nirmala Doraisamy, Wan Rumaizi Wan Husin, Ho Chai Huey, Shunsuke Shirakawa. conf 95 Board confirmed Jul 2026 via aeonbank.com.my/about-us: Chairman Tomokatsu Yoshitoshi (Ind NED), Nirmala Doraisamy (Ind NED), Wan Rumaizi Wan Husin (Ind NED), Ho Chai Huey (Ind NED), Shunsuke Shirakawa (Non-Ind NED), Daisuke Maeda (Non-Ind Exec Dir/CEO). Senior Leaders section JS-rendered (Next.js), not scrapeable."
6,Fintech Sandbox,AEON Bank Berhad,,Kirenjeet Kaur,,Kirenjeet Kaur,Kirenjeet Kaur,,
4,E-Money,AEON Wallet (AEON Credit),"NOT FOUND [AEON Wallet is an e-money product of AEON Credit Service, not a separate institution. CISO not publicly listed. Parent AEON Bank CEO is Mohammad Ridzuan Abdul Aziz (not a target role). Sources: aeonbank.com.my, conf 30]","NOT FOUND [AEON Wallet is an e-money product of AEON Credit Service (M) Berhad, not a standalone entity. Risk/compliance/technology functions handled at AEON Credit Service level. conf 90]","NOT FOUND [AEON Wallet is an e-money product of AEON Credit Service (M) Berhad, not a standalone entity. Risk/compliance/technology functions handled at AEON Credit Service level. conf 90]","NOT FOUND [AEON Wallet is an e-money product of AEON Credit Service (M) Berhad, not a standalone entity. Risk/compliance/technology functions handled at AEON Credit Service level. conf 90]","NOT FOUND [AEON Wallet is an e-money product of AEON Credit Service (M) Berhad, not a standalone entity. Risk/compliance/technology functions handled at AEON Credit Service level. conf 90]","Lee Tyan Jen (Executive Director & Deputy CEO, oversees IT Division) [Official: aeoncredit.com.my/about-us/leadership, 2026-07-26]","NOT FOUND [AEON Wallet is an e-money product of AEON Credit Service (M) Berhad, not a standalone entity. Risk/compliance/technology functions handled at AEON Credit Service level. conf 90]"
2,Insurers,AIA Berhad,"Chee Lung Yuen (Director, Technology Risk Management & Business Continuity Management - CISO) [ASEAN Risk Awards industry profile: aseanriskawards.com/chee-lung-yuen/, conf 85]. CISO of AIA Bhd (Malaysia) since 2020. Not on AIA public EXCO leadership page (only top execs listed). Verified via credible regional risk-management industry body.",Datin Veronica Selvanayagy (General Counsel) [Official: aia.com.my] Confirmed Aug 2026 via official AIA Bhd leadership page scrape.],Edwin Peh (CFO) [Official: aia.com.my] Confirmed Aug 2026 via official AIA Bhd leadership page scrape.],Tan Teoh Guan (CRO) [Official: aia.com.my] Confirmed Aug 2026 via official AIA Bhd leadership page scrape.],Tan Teoh Guan (CRO - oversees compliance monitoring) [Official: aia.com.my],Sherlly Yuan Xiaoli (CTO) [Official: aia.com.my] Confirmed Aug 2026 via official AIA Bhd leadership page scrape.],"Not publicly disclosed on leadership page [Official: aia.com.my/en/about-aia/aia-subsidiaries/about-aia-bhd/leadership-team — as of Jul 2026; Datin Veronica Selvanayagy (General Counsel) oversees Corporate Governance & Corporate Security, conf 40]"
2,Insurers,AIA General Berhad,"Chee Lung Yuen (Director, Technology Risk Management & BCM - CISO) [Group-level: AIA Shared Services covers all AIA entities in Malaysia. Datin Veronica (General Counsel) bio confirms shared services model for 'all AIA entities in Malaysia including the three licensed insurance and takaful entities'. Conf 80]",Datin Veronica Selvanayagy (General Counsel) [Official: aia.com.my],Edwin Peh (CFO) [Official: aia.com.my],Tan Teoh Guan (CRO) [Official: aia.com.my],"Nanthini Kandasamy (Director, Risk & Compliance) [Official: aia.com.my, conf 90]",Sherlly Yuan Xiaoli (CTO) [Official: aia.com.my],"Not publicly disclosed on leadership page [Official: aia.com.my/en/about-aia/aia-subsidiaries/about-aia-bhd/leadership-team — as of Jul 2026; shared audit function with AIA Bhd, conf 40]"
2,Takaful,AIA Public Takaful Berhad,"Chee Lung Yuen (Director, Technology Risk Management & BCM - CISO) [Group-level: AIA Shared Services covers all AIA entities in Malaysia including AIA Public Takaful Bhd. Conf 80]",Datin Veronica Selvanayagy (General Counsel) [Official: aia.com.my],Edwin Peh (CFO) [Official: aia.com.my],Tan Teoh Guan (CRO) [Official: aia.com.my],"Ahmad Faisal Ahamad Nawawi (Associate Director, Compliance) [Official: aia.com.my, conf 90]",Sherlly Yuan Xiaoli (CTO) [Official: aia.com.my],"Not publicly disclosed on leadership page [Official: aia.com.my/en/about-aia/aia-subsidiaries/about-aia-bhd/leadership-team — as of Jul 2026; shared audit function with AIA Bhd, conf 40]"
2,Investment Banks,Affin Investment Bank Berhad,Teng Wei Lim (Thomas) (Group CISO/GCISO) [LinkedIn: my.linkedin.com/in/thomaslim],Cheong Dang (Group CRO) + Adzamimah Adzmi (Group CCO) [Group-level: Affin Bank],"Joanne Rodrigues (Group CFO, 6.1yrs tenure) [SimplyWall.st]","Cheong Dang (Group Chief Risk Officer, 4.3yrs) [SimplyWall.st]","Adzamimah Adzmi (Group Chief Compliance Officer, 8yrs) [SimplyWall.st]",CEO: Wan Razly Bin Wan Ali (President and Group CEO); COO: Risham Kamaruzaman [SimplyWall.st],"Wahdania Binti Mohd Khir (Group Chief Internal Auditor, 6.2yrs) [SimplyWall.st]"
5,GLC-Linked,Agensi Jaminan Kredit Mikro (AKM),"NOT FOUND [AKM is a SKM (Suruhanjaya Koperasi Malaysia) subsidiary with limited public disclosure. No leadership page, no CISO publicly listed. Sources: web/firecrawl search — no results, conf 25]",NOT FOUND [AKM is a government microcredit guarantee agency. No public C-suite leadership data for target roles. Website and BNM registry do not list executives. conf 85],NOT FOUND [AKM is a government microcredit guarantee agency. No public C-suite leadership data for target roles. Website and BNM registry do not list executives. conf 85],NOT FOUND [AKM is a government microcredit guarantee agency. No public C-suite leadership data for target roles. Website and BNM registry do not list executives. conf 85],NOT FOUND [AKM is a government microcredit guarantee agency. No public C-suite leadership data for target roles. Website and BNM registry do not list executives. conf 85],NOT FOUND [AKM is a government microcredit guarantee agency. No public C-suite leadership data for target roles. Website and BNM registry do not list executives. conf 85],NOT FOUND [AKM is a government microcredit guarantee agency. No public C-suite leadership data for target roles. Website and BNM registry do not list executives. conf 85]
3,Development FIs,Agrobank Malaysia,"Nolan Jeffrey A/L Abdul Hai (Group CIO, CISO-equivalent) [Official: agrobank.com.my/my/home/corporate-info/senior-leadership/, conf 85]",Encik Hussien Mullar (CRO) + Encik Fairoshawal Idrus (Compliance),Encik Zulkeefli Mad Karim,Encik Hussien Mullar,Encik Fairoshawal Idrus,"Nolan Jeffrey A/L Abdul Hai (Group Chief Information Technology Officer) [Official: agrobank.com.my/home/corporate-info/senior-leadership/, conf 95]",Encik Kamarudin Samsudin
